都道府県,目的,地点数,客数
神奈川県,スポーツ・レク,81.0,9119.0
神奈川県,都市型観光,7.0,948.0
神奈川県,イベント,74.0,9342.0
新潟県,自然,76.0,1291.0
新潟県,歴史・文化,155.0,2615.0
新潟県,温泉・健康,106.0,2129.0
新潟県,スポーツ・レク,252.0,2161.0
新潟県,都市型観光,62.0,4352.0
新潟県,イベント,107.0,5081.0
富山県,自然,24.0,942.0
富山県,歴史・文化,71.0,1455.0
富山県,温泉・健康,19.0,621.0
富山県,スポーツ・レク,48.0,1539.0
富山県,都市型観光,5.0,237.0
富山県,イベント,37.0,1685.0
石川県,自然,28.0,572.0
石川県,歴史・文化,100.0,3540.0
石川県,温泉・健康,26.0,1280.0
石川県,スポーツ・レク,74.0,1814.0
石川県,都市型観光,16.0,5231.0
石川県,イベント,22.0,1602.0
山梨県,自然,17.0,2047.0
山梨県,歴史・文化,92.0,2206.0
山梨県,温泉・健康,59.0,1357.0
山梨県,スポーツ・レク,89.0,2471.0
山梨県,都市型観光,31.0,1050.0
山梨県,イベント,28.0,907.0
長野県,自然,64.0,2023.0
長野県,歴史・文化,76.0,4777.0
長野県,温泉・健康,87.0,2929.0
長野県,スポーツ・レク,99.0,1789.0
長野県,都市型観光,15.0,2098.0
長野県,イベント,25.0,2193.0
岐阜県,自然,37.0,906.0
岐阜県,歴史・文化,93.0,3988.0
岐阜県,温泉・健康,55.0,2185.0
岐阜県,スポーツ・レク,151.0,3439.0
岐阜県,都市型観光,23.0,2349.0
岐阜県,イベント,63.0,2971.0
静岡県,自然,46.0,2868.0
静岡県,歴史・文化,187.0,5533.0
静岡県,温泉・健康,46.0,964.0
静岡県,スポーツ・レク,273.0,5620.0
静岡県,都市型観光,38.0,4813.0
静岡県,イベント,103.0,7271.0
愛知県,自然,37.0,1665.0
愛知県,歴史・文化,143.0,8913.0
愛知県,温泉・健康,21.0,885.0
愛知県,スポーツ・レク,139.0,8664.0
愛知県,都市型観光,44.0,6781.0
愛知県,イベント,69.0,7103.0
三重県,自然,36.0,712.0
三重県,歴史・文化,69.0,4342.0
三重県,温泉・健康,29.0,1480.0
三重県,スポーツ・レク,134.0,5505.0
三重県,都市型観光,22.0,890.0
三重県,イベント,18.0,583.0
滋賀県,自然,23.0,481.0
滋賀県,歴史・文化,110.0,2475.0
滋賀県,温泉・健康,22.0,377.0
滋賀県,スポーツ・レク,110.0,2634.0
滋賀県,都市型観光,29.0,1148.0
滋賀県,イベント,26.0,695.0
京都府,自然,18.0,503.0
京都府,歴史・文化,83.0,17876.0
京都府,温泉・健康,18.0,472.0
京都府,スポーツ・レク,73.0,2430.0
京都府,都市型観光,7.0,274.0
京都府,イベント,9.0,387.0
兵庫県,自然,89.0,1051.0
兵庫県,歴史・文化,290.0,7630.0
兵庫県,温泉・健康,74.0,1780.0
兵庫県,スポーツ・レク,361.0,9361.0
兵庫県,都市型観光,43.0,9413.0
兵庫県,イベント,78.0,5678.0
奈良県,自然,25.0,1288.0
奈良県,歴史・文化,92.0,6390.0
奈良県,温泉・健康,24.0,357.0
奈良県,スポーツ・レク,19.0,308.0
奈良県,都市型観光,5.0,175.0
奈良県,イベント,11.0,919.0
和歌山県,自然,6.0,67.0
和歌山県,歴史・文化,25.0,1029.0
和歌山県,温泉・健康,11.0,157.0
和歌山県,スポーツ・レク,37.0,1590.0
和歌山県,都市型観光,2.0,60.0
和歌山県,イベント,6.0,92.0
鳥取県,自然,11.0,474.0
鳥取県,歴史・文化,39.0,876.0
鳥取県,温泉・健康,19.0,489.0
鳥取県,スポーツ・レク,35.0,279.0
鳥取県,都市型観光,16.0,1521.0
鳥取県,イベント,9.0,208.0
島根県,自然,17.0,741.0
島根県,歴史・文化,69.0,3735.0
島根県,温泉・健康,24.0,538.0
島根県,スポーツ・レク,36.0,518.0
島根県,都市型観光,14.0,569.0
島根県,イベント,5.0,278.0
岡山県,自然,20.0,159.0
岡山県,歴史・文化,109.0,1357.0
岡山県,温泉・健康,33.0,625.0
岡山県,スポーツ・レク,80.0,1750.0
岡山県,都市型観光,37.0,1082.0
岡山県,イベント,22.0,996.0
広島県,自然,17.0,453.0
広島県,歴史・文化,67.0,3228.0
広島県,温泉・健康,26.0,587.0
広島県,スポーツ・レク,66.0,1996.0
広島県,都市型観光,14.0,1057.0
広島県,イベント,34.0,5518.0
山口県,自然,28.0,648.0
山口県,歴史・文化,71.0,1852.0
山口県,温泉・健康,31.0,872.0
山口県,スポーツ・レク,58.0,1457.0
山口県,都市型観光,4.0,520.0
山口県,イベント,39.0,1263.0
徳島県,自然,20.0,482.0
徳島県,歴史・文化,50.0,1420.0
徳島県,温泉・健康,24.0,318.0
徳島県,スポーツ・レク,47.0,762.0
徳島県,都市型観光,30.0,1057.0
徳島県,イベント,21.0,675.0
香川県,自然,9.0,346.0
香川県,歴史・文化,60.0,2468.0
香川県,温泉・健康,18.0,433.0
香川県,スポーツ・レク,51.0,1998.0
香川県,都市型観光,11.0,860.0
香川県,イベント,7.0,442.0
愛媛県,自然,44.0,680.0
愛媛県,歴史・文化,64.0,1535.0
愛媛県,温泉・健康,26.0,767.0
愛媛県,スポーツ・レク,37.0,733.0
愛媛県,都市型観光,29.0,347.0
愛媛県,イベント,17.0,524.0
高知県,自然,17.0,242.0
高知県,歴史・文化,27.0,585.0
高知県,温泉・健康,13.0,158.0
高知県,スポーツ・レク,25.0,331.0
高知県,都市型観光,21.0,1353.0
高知県,イベント,10.0,375.0
福岡県,自然,36.0,947.0
福岡県,歴史・文化,130.0,6400.0
福岡県,温泉・健康,35.0,998.0
福岡県,スポーツ・レク,83.0,2553.0
福岡県,都市型観光,66.0,23919.0
福岡県,イベント,37.0,2681.0
佐賀県,自然,9.0,109.0
佐賀県,歴史・文化,30.0,1103.0
佐賀県,温泉・健康,16.0,493.0
佐賀県,スポーツ・レク,31.0,450.0
佐賀県,都市型観光,25.0,2340.0
佐賀県,イベント,15.0,1561.0
長崎県,自然,16.0,267.814
長崎県,歴史・文化,62.0,2048.536
長崎県,温泉・健康,23.0,607.535
長崎県,スポーツ・レク,65.0,1809.4540000000002
長崎県,都市型観光,12.0,2863.708
長崎県,イベント,36.0,1381.018
