都道府県,目的,1_地点数,2_地点数,3_地点数,4_地点数,1_客数,2_客数,3_客数,4_客数
22 静岡県,都市型観光,43,43,43,43,5234,5348,5774,5320
22 静岡県,その他,24,24,24,24,3101,3222,4129,3139
22 静岡県,イベント,78,108,143,119,4767,6584,7771,5270
23 愛知県,自然,37,37,37,37,1204,1942,2029,1947
23 愛知県,歴史・文化,134,134,134,134,13756,8917,7877,7708
23 愛知県,温泉・健康,20,20,20,20,726,622,690,681
23 愛知県,スポーツ・レク,119,119,119,119,5551,7892,7828,6450
23 愛知県,都市型観光,42,42,42,42,7078,6682,7399,6732
23 愛知県,その他,11,11,11,11,1159,1421,1285,1311
23 愛知県,イベント,38,70,69,70,4944,8401,12498,8114
24 三重県,自然,35,35,36,36,233,602,782,533
24 三重県,歴史・文化,69,69,71,71,7188,3383,3831,4032
24 三重県,温泉・健康,28,28,29,29,1389,1361,1756,1648
24 三重県,スポーツ・レク,129,129,130,130,7379,7126,9698,7855
24 三重県,都市型観光,23,23,24,24,879,833,1113,1193
24 三重県,その他,27,27,29,29,1062,1118,1468,1330
24 三重県,イベント,8,20,35,23,225,576,2283,886
25 滋賀県,自然,21,21,21,21,99,347,327,214
25 滋賀県,歴史・文化,111,111,111,111,3631,2642,2456,2868
25 滋賀県,温泉・健康,21,21,21,21,395,344,372,332
25 滋賀県,スポーツ・レク,114,114,114,114,1651,2584,2921,2305
25 滋賀県,都市型観光,28,28,28,28,1172,1541,1958,1755
25 滋賀県,その他,59,59,59,59,2274,3110,3304,3023
25 滋賀県,イベント,9,28,34,25,537,788,1444,786
26 京都府,自然,14,14,14,14,94,211,171,167
26 京都府,歴史・文化,76,76,76,76,17992,16608,13434,15712
26 京都府,温泉・健康,19,19,19,19,657,679,751,728
26 京都府,スポーツ・レク,77,77,77,77,1268,2727,2894,2282
26 京都府,都市型観光,8,8,8,8,251,285,338,300
26 京都府,その他,19,19,19,19,1279,1106,1337,1202
26 京都府,イベント,5,8,15,17,82,516,544,724
28 兵庫県,自然,77,79,79,79,442,864,1078,703
