都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額
大分県,140,1916,592,1654,33043
宮崎県,157,1507,171,784,18972
鹿児島県,233,2167,503,470,38410
北海道,1741,14556,1222,79,204546
青森県,195,2301,494,1215,39972
岩手県,245,986,524,861,30801
宮城県,659,3762,806,1397,50892
秋田県,118,1613,511,1095,39287
山形県,291,1968,650,2387,42312
福島県,496,1594,925,2016,62853
茨城県,139,4110,427,3699,45797
栃木県,377,3190,1923,5169,125029
群馬県,370,2763,1453,2708,54887
埼玉県,124,18108,252,9152,97561
千葉県,579,8903,2834,9160,250049
東京都,1127,61665,2641,54875,1014565
神奈川県,685,6648,1487,9490,152498
新潟県,395,5027,1316,1180,62855
富山県,261,2979,499,1260,39274
山梨県,168,2336,1686,3967,103867
長野県,543,2342,3543,5138,237065
岐阜県,219,4403,796,6560,65431
静岡県,715,5745,3311,7095,234077
愛知県,1011,14153,696,8613,179728
三重県,318,2604,1376,3051,76309
滋賀県,150,1567,666,3555,46116
京都府,383,3851,1841,7951,170219
兵庫県,597,8810,1390,10985,235292
奈良県,122,878,405,3404,30593
和歌山県,108,475,845,2211,33526
鳥取県,64,576,437,1403,21588
島根県,103,708,390,1406,19656
岡山県,301,1031,449,1298,29742
広島県,348,2669,537,1050,44862
山口県,103,2249,329,1972,32057
香川県,88,898,495,1693,29798
愛媛県,118,2415,389,891,26771
高知県,102,366,335,448,18483
福岡県,775,15455,527,5768,235726
佐賀県,101,1070,268,2993,58837
長崎県,255,1110,792,1027,41966
熊本県,344,3049,727,2810,86453
大分県,136,2363,798,2039,48993
宮崎県,182,2050,293,1127,26263
鹿児島県,342,2542,693,599,45915
北海道,1728,4569,792,21,113835
青森県,184,985,305,610,22860
岩手県,254,669,377,467,23961
宮城県,457,3298,651,1605,49365
秋田県,104,1063,225,900,26653
山形県,290,1241,446,1733,33170
福島県,419,459,746,2334,54523
茨城県,139,4078,312,3725,39440
栃木県,390,2204,1534,5988,126221
群馬県,373,2703,1241,2345,53383
埼玉県,86,13918,201,10664,93856
千葉県,510,6504,2572,6896,193879
東京都,863,60654,2220,51995,869956
神奈川県,700,10976,1601,7609,142359
新潟県,439,3558,771,1300,79368
富山県,154,1261,309,1906,38071
山梨県,134,1357,1150,3769,76337
長野県,497,1508,1856,4009,104967
岐阜県,222,3075,606,6319,53780
静岡県,663,5542,2809,6946,167648
愛知県,577,12832,676,8167,146897
三重県,263,2473,989,3717,70603
滋賀県,116,1215,507,2614,38638
京都府,280,4692,1659,10469,208854
兵庫県,521,5175,1254,7927,180118
奈良県,55,1224,322,3855,31264
和歌山県,103,253,728,1279,12286
島根県,149,404,317,1547,21530
岡山県,128,1399,339,965,19224
広島県,281,2580,516,872,28138
山口県,181,2383,303,1472,24272
香川県,74,1006,352,1681,31647
愛媛県,118,1947,386,699,23848
高知県,67,474,205,466,13458
福岡県,407,15832,501,6244,202866
佐賀県,76,990,269,2812,61670
長崎県,187,791,766,944,47247
熊本県,287,2931,619,1960,78530
大分県,198,2335,721,2132,40532
宮崎県,117,1750,228,1200,24667
鹿児島県,226,2307,530,603,45132
北海道,1510,5528,824,22,113905
青森県,137,1353,180,577,18167
岩手県,273,1163,307,416,19697
宮城県,369,3385,435,929,57330
秋田県,89,1339,119,414,9971
山形県,253,1591,353,945,24006
福島県,358,676,658,2021,48153
茨城県,143,3449,327,3352,35743
栃木県,287,3839,1018,5847,113152
群馬県,264,2600,940,1523,31966
埼玉県,76,16408,165,8387,107527
千葉県,521,14998,2435,12424,238909
東京都,835,63162,1950,56240,893176
神奈川県,619,11023,1480,17742,158130
新潟県,377,4933,870,688,46143
富山県,131,1180,183,779,24609
福井県,165,800,353,1282,22159
山梨県,145,1100,821,3627,63135
長野県,451,2111,1765,2363,112063
岐阜県,147,3202,591,5262,43623
静岡県,673,8736,2610,5210,257447
愛知県,451,19102,579,8006,126783
三重県,224,3151,845,6176,89941
滋賀県,96,1385,377,4482,53179
京都府,228,3653,1378,8966,119842
兵庫県,515,7607,1017,5762,108113
奈良県,42,1941,231,3817,33387
和歌山県,100,682,520,1028,22796
鳥取県,67,410,278,1003,18581
島根県,67,626,229,1595,21258
岡山県,157,1797,282,1193,22545
広島県,165,2111,429,734,22325
山口県,118,2895,252,1328,23521
香川県,56,1097,304,2077,24763
愛媛県,116,1739,388,618,22505
高知県,58,396,219,361,13056
福岡県,450,19435,546,7301,185152
佐賀県,66,818,262,2833,60271
熊本県,204,2580,500,1396,58621
大分県,150,2175,629,1348,36863
宮崎県,96,1989,206,1085,24074
鹿児島県,183,2089,456,443,27168
北海道,1665,10514,802,23,147064
青森県,122,1870,335,827,30710
岩手県,215,1006,384,612,23150
宮城県,304,3948,502,1122,37864
秋田県,103,1656,244,1145,20737
山形県,190,1190,428,2859,48199
福島県,333,1270,820,4221,68827
茨城県,146,3762,276,4739,42426
栃木県,349,4382,1454,5414,122845
群馬県,260,3512,925,3210,43043
埼玉県,97,18613,200,9042,115418
千葉県,475,9966,2489,7872,226557
東京都,774,58918,2019,54242,901971
神奈川県,617,7824,1436,12539,136008
新潟県,356,4974,587,1840,58383
富山県,125,1620,265,1033,17516
山梨県,121,1712,1154,3987,80625
