都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額単価
静岡県,715,5745,3311,7095,65763
愛知県,1011,14153,696,8613,58667
三重県,318,2604,1376,3051,54507
滋賀県,150,1567,666,3555,46020
京都府,383,3851,1841,7951,102276
兵庫県,597,8810,1390,10985,88811
奈良県,122,878,405,3404,53008
和歌山県,108,475,845,2211,56897
鳥取県,64,576,437,1403,57156
島根県,103,708,390,1406,42632
岡山県,301,1031,449,1298,53471
広島県,348,2669,537,1050,84725
山口県,103,2249,329,1972,62899
香川県,88,898,495,1693,51273
愛媛県,118,2415,389,891,47920
高知県,102,366,335,448,63098
福岡県,775,15455,527,5768,87808
佐賀県,101,1070,268,2993,69196
長崎県,255,1110,792,1027,61278
熊本県,344,3049,727,2810,82964
大分県,136,2363,798,2039,57385
宮崎県,182,2050,293,1127,45206
鹿児島県,342,2542,693,599,67769
北海道,1728,4569,792,21,117015
青森県,184,985,305,610,64023
岩手県,254,669,377,467,66512
宮城県,457,3298,651,1605,54672
秋田県,104,1063,225,900,84496
山形県,290,1241,446,1733,55965
福島県,419,459,746,2334,65035
茨城県,139,4078,312,3725,46263
栃木県,390,2204,1534,5988,64623
群馬県,373,2703,1241,2345,48999
埼玉県,86,13918,201,10664,30034
千葉県,510,6504,2572,6896,64818
東京都,863,60654,2220,51995,92703
神奈川県,700,10976,1601,7609,51367
新潟県,439,3558,771,1300,74671
富山県,154,1261,309,1906,69199
山梨県,134,1357,1150,3769,60311
長野県,497,1508,1856,4009,62834
岐阜県,222,3075,606,6319,69210
静岡県,663,5542,2809,6946,53143
愛知県,577,12832,676,8167,55220
三重県,263,2473,989,3717,68209
滋賀県,116,1215,507,2614,69680
京都府,280,4692,1659,10469,88368
兵庫県,521,5175,1254,7927,91247
奈良県,55,1224,322,3855,60251
和歌山県,103,253,728,1279,23268
島根県,149,404,317,1547,52844
岡山県,128,1399,339,965,51489
広島県,281,2580,516,872,46036
山口県,181,2383,303,1472,47013
香川県,74,1006,352,1681,64620
愛媛県,118,1947,386,699,48580
高知県,67,474,205,466,62731
福岡県,407,15832,501,6244,72801
佐賀県,76,990,269,2812,65412
長崎県,187,791,766,944,100367
熊本県,287,2931,619,1960,86160
大分県,198,2335,721,2132,54253
宮崎県,117,1750,228,1200,53424
鹿児島県,226,2307,530,603,83383
北海道,1510,5528,824,22,125729
青森県,137,1353,180,577,60226
岩手県,273,1163,307,416,55255
宮城県,369,3385,435,929,76758
秋田県,89,1339,119,414,44301
山形県,253,1591,353,945,52435
福島県,358,676,658,2021,59476
茨城県,143,3449,327,3352,42000
栃木県,287,3839,1018,5847,57493
群馬県,264,2600,940,1523,41052
埼玉県,76,16408,165,8387,37273
千葉県,521,14998,2435,12424,68408
東京都,835,63162,1950,56240,85099
神奈川県,619,11023,1480,17742,46514
新潟県,377,4933,870,688,52350
富山県,131,1180,183,779,73630
福井県,165,800,353,1282,46316
山梨県,145,1100,821,3627,62820
長野県,451,2111,1765,2363,72822
岐阜県,147,3202,591,5262,54392
静岡県,673,8736,2610,5210,81567
愛知県,451,19102,579,8006,44725
三重県,224,3151,845,6176,62113
滋賀県,96,1385,377,4482,36713
京都府,228,3653,1378,8966,57634
兵庫県,515,7607,1017,5762,74753
奈良県,42,1941,231,3817,50099
和歌山県,100,682,520,1028,52736
鳥取県,67,410,278,1003,56703
島根県,67,626,229,1595,67395
岡山県,157,1797,282,1193,59625
広島県,165,2111,429,734,42981
山口県,118,2895,252,1328,44717
香川県,56,1097,304,2077,54306
愛媛県,116,1739,388,618,48628
高知県,58,396,219,361,65775
福岡県,450,19435,546,7301,59710
佐賀県,66,818,262,2833,76208
熊本県,204,2580,500,1396,81367
大分県,150,2175,629,1348,55310
宮崎県,96,1989,206,1085,54970
鹿児島県,183,2089,456,443,58131
北海道,1665,10514,802,23,116131
青森県,122,1870,335,827,69772
岩手県,215,1006,384,612,56842
宮城県,304,3948,502,1122,52743
秋田県,103,1656,244,1145,48233
山形県,190,1190,428,2859,67001
福島県,333,1270,820,4221,62133
茨城県,146,3762,276,4739,55865
栃木県,349,4382,1454,5414,58717
群馬県,260,3512,925,3210,41310
埼玉県,97,18613,200,9042,36371
千葉県,475,9966,2489,7872,97741
東京都,774,58918,2019,54242,95546
神奈川県,617,7824,1436,12539,55843
