都道府県,目的,地点数,客数
佐賀県,都市型観光,25,2340
佐賀県,イベント,15,1561
長崎県,自然,16,267
長崎県,歴史・文化,62,2048
長崎県,温泉・健康,23,607
長崎県,スポーツ・レク,65,1809
長崎県,都市型観光,12,2863
長崎県,イベント,36,1381
熊本県,自然,25,912
熊本県,歴史・文化,88,2221
熊本県,温泉・健康,42,2394
熊本県,スポーツ・レク,102,1532
熊本県,都市型観光,54,2979
熊本県,イベント,29,1064
大分県,自然,47,649
大分県,歴史・文化,104,2323
大分県,温泉・健康,46,2389
大分県,スポーツ・レク,82,1836
大分県,都市型観光,11,192
大分県,イベント,31,1062
宮崎県,自然,18,563
宮崎県,歴史・文化,59,1603
宮崎県,温泉・健康,26,582
宮崎県,スポーツ・レク,86,1322
宮崎県,都市型観光,10,270
宮崎県,イベント,19,724
鹿児島県,自然,38,478
鹿児島県,歴史・文化,66,1770
鹿児島県,温泉・健康,48,675
鹿児島県,スポーツ・レク,98,2397
鹿児島県,都市型観光,41,1228
鹿児島県,イベント,17,797
北海道,自然,107,5908
北海道,歴史・文化,158,9176
北海道,温泉・健康,153,5185
北海道,スポーツ・レク,280,7485
北海道,都市型観光,79,7329
北海道,イベント,172,13877
青森県,自然,47,1649
青森県,歴史・文化,59,1799
青森県,温泉・健康,44,872
青森県,スポーツ・レク,72,1644
青森県,都市型観光,52,4499
青森県,イベント,78,9299
岩手県,自然,34,1706
岩手県,歴史・文化,59,1070
岩手県,温泉・健康,77,1447
岩手県,スポーツ・レク,57,767
岩手県,都市型観光,25,1067
岩手県,イベント,58,2887
宮城県,自然,31,1472
宮城県,歴史・文化,80,2070
宮城県,温泉・健康,36,1231
宮城県,スポーツ・レク,59,2087
宮城県,都市型観光,45,2065
宮城県,イベント,52,5295
秋田県,自然,30,1690
秋田県,歴史・文化,48,999
秋田県,温泉・健康,67,1360
秋田県,スポーツ・レク,67,1266
秋田県,都市型観光,20,400
秋田県,イベント,61,5198
山形県,自然,39,1349
山形県,歴史・文化,78,3329
山形県,温泉・健康,49,2591
山形県,スポーツ・レク,68,1670
山形県,都市型観光,30,1185
山形県,イベント,45,3844
福島県,自然,49,1825
福島県,歴史・文化,78,2409
福島県,温泉・健康,49,1587
福島県,スポーツ・レク,76,2831
福島県,都市型観光,17,1282
福島県,イベント,47,3293
茨城県,自然,15,1616
茨城県,歴史・文化,51,2640
茨城県,温泉・健康,13,424
茨城県,スポーツ・レク,52,3034
茨城県,都市型観光,11,1944
茨城県,イベント,57,5446
栃木県,自然,38,2178
栃木県,歴史・文化,88,3856
栃木県,温泉・健康,30,1711
栃木県,スポーツ・レク,128,4060
栃木県,都市型観光,14,2804
栃木県,イベント,37,2810
群馬県,自然,46,2913
群馬県,歴史・文化,78,2871
群馬県,温泉・健康,71,3713
群馬県,スポーツ・レク,94,2642
群馬県,都市型観光,25,1465
群馬県,イベント,59,4335
埼玉県,自然,41,2247
埼玉県,歴史・文化,142,4021
埼玉県,温泉・健康,30,1259
埼玉県,スポーツ・レク,160,4623
埼玉県,都市型観光,41,14222
埼玉県,イベント,122,12004
千葉県,自然,34,578
千葉県,歴史・文化,139,4734
千葉県,温泉・健康,25,1279
千葉県,スポーツ・レク,296,18898
千葉県,都市型観光,24,5994
千葉県,イベント,85,11021
東京都,自然,6,687
東京都,歴史・文化,326,16237
東京都,温泉・健康,35,6457
東京都,スポーツ・レク,167,30124
東京都,都市型観光,86,200255
東京都,イベント,121,14119
神奈川県,自然,62,8833
神奈川県,歴史・文化,111,7634
神奈川県,温泉・健康,8,295
神奈川県,スポーツ・レク,81,10845
神奈川県,都市型観光,7,1060
神奈川県,イベント,83,9014
新潟県,自然,76,1532
新潟県,歴史・文化,155,3035
新潟県,温泉・健康,106,2523
新潟県,スポーツ・レク,252,4312
新潟県,都市型観光,62,5139
新潟県,イベント,144,7406
富山県,自然,24,1142
富山県,歴史・文化,71,1616
富山県,温泉・健康,19,699
富山県,スポーツ・レク,48,1907
富山県,都市型観光,5,241
富山県,イベント,45,1898
石川県,自然,28,712
石川県,歴史・文化,100,3218
石川県,温泉・健康,26,1538
石川県,スポーツ・レク,74,1759
石川県,都市型観光,16,5227
石川県,イベント,34,284
山梨県,自然,17,2652
山梨県,歴史・文化,92,3353
山梨県,温泉・健康,59,1800
山梨県,スポーツ・レク,89,3092
山梨県,都市型観光,31,1431
山梨県,イベント,29,1489
長野県,自然,62,4512
長野県,歴史・文化,71,4848
長野県,温泉・健康,78,3889
長野県,スポーツ・レク,97,2410
長野県,都市型観光,15,4341
長野県,イベント,54,3366
岐阜県,自然,37,1091
岐阜県,歴史・文化,93,3835
岐阜県,温泉・健康,55,2351
岐阜県,スポーツ・レク,151,3392
岐阜県,都市型観光,23,2492
岐阜県,イベント,60,2754
静岡県,自然,46,3995
静岡県,歴史・文化,187,5045
静岡県,温泉・健康,46,1102
静岡県,スポーツ・レク,273,8504
静岡県,都市型観光,38,5256
静岡県,イベント,131,7608
愛知県,自然,37,1875
愛知県,歴史・文化,143,7473
愛知県,温泉・健康,21,815
愛知県,スポーツ・レク,139,7950
愛知県,都市型観光,44,7606
愛知県,イベント,63,11330
三重県,自然,36,755
三重県,歴史・文化,72,3812
三重県,温泉・健康,29,1667
三重県,スポーツ・レク,134,7394
三重県,都市型観光,22,833
